epoch,loss_dis,loss_gen
0,-1.5596674680709839,3.104747772216797
1,-0.6966029405593872,1.9730747938156128
2,-0.4463992714881897,1.6627460718154907
3,-0.8191802501678467,1.5669347047805786
4,-0.631797194480896,1.1641732454299927
5,-0.3480251133441925,0.9789828062057495
6,-0.35605308413505554,1.257670521736145
7,-0.28442853689193726,1.2036317586898804
8,-0.1547136753797531,0.9076722264289856
9,-0.10680502653121948,0.6750688552856445
10,-0.1495763659477234,0.6893489360809326
11,-0.21154627203941345,1.5958309173583984
12,-0.09874439239501953,0.8780683279037476
13,-0.16266073286533356,0.9186053276062012
14,-0.11859206110239029,0.7454259991645813
15,-0.05186152458190918,0.8864549398422241
16,-0.0595751516520977,1.3017183542251587
17,-0.16646990180015564,1.4348220825195312
18,-0.23438575863838196,1.4404246807098389
19,-0.1929953694343567,1.5441099405288696
20,-0.237222358584404,1.5137888193130493
21,-0.22123341262340546,1.21760094165802
22,-0.18617741763591766,1.1477266550064087
23,-0.2039680927991867,1.1178030967712402
24,-0.22802506387233734,1.156738519668579
25,-0.25437524914741516,0.926327645778656
26,-0.24737583100795746,0.9559289216995239
27,-0.21933771669864655,0.9564762115478516
28,-0.27176764607429504,0.9473109245300293
29,-0.22042039036750793,0.7140249013900757
30,-0.23619498312473297,0.5902491211891174
31,-0.2738712430000305,0.7342141270637512
32,-0.2617764174938202,0.8478784561157227
33,-0.23688477277755737,1.0213940143585205
34,-0.2218535989522934,0.7711125016212463
35,-0.11999668180942535,1.07886803150177
36,-0.19328615069389343,0.8785824775695801
37,-0.18758241832256317,0.9580001831054688
38,-0.26182201504707336,0.8086403608322144
39,-0.21089956164360046,0.7602172493934631
40,-0.22398997843265533,0.6627227067947388
41,-0.22828873991966248,0.8055391311645508
42,-0.23889997601509094,0.9435034394264221
43,-0.2166258543729782,1.207720160484314
44,-0.14707215130329132,1.0361801385879517
45,-0.20356132090091705,1.1743192672729492
46,-0.22381103038787842,1.2807196378707886
47,-0.2345128208398819,1.3857563734054565
48,-0.20362095534801483,0.9862785339355469
49,-0.14698641002178192,1.31326162815094
50,-0.15615542232990265,1.4991724491119385
51,-0.1396581381559372,1.214727759361267
52,-0.10555918514728546,1.5494053363800049
53,-0.08960232883691788,1.6240589618682861
54,-0.09654813259840012,1.3966002464294434
55,-0.11967423558235168,1.1450351476669312
56,-0.11281037330627441,1.4771618843078613
57,-0.1373986303806305,2.3576579093933105
58,-0.10176391154527664,2.555527925491333
59,-0.09743693470954895,2.1607115268707275
60,-0.09127392619848251,2.391106605529785
61,-0.007691176608204842,2.2328968048095703
62,0.139948770403862,2.116414785385132
63,-0.02832607366144657,2.064216375350952
64,-0.05604587867856026,1.6943529844284058
65,-0.027805635705590248,1.6807502508163452
66,-0.04244491085410118,2.0990233421325684
67,-0.05633440986275673,2.09187388420105
68,0.1631738394498825,2.2962570190429688
69,0.05617639049887657,1.9533143043518066
70,-0.039363712072372437,2.161945343017578
71,-0.03575534373521805,2.1579976081848145
72,-0.03478054702281952,2.039257764816284
73,-0.08195111155509949,2.407425880432129
74,-0.023450303822755814,2.3822576999664307
75,-0.024417435750365257,2.2489261627197266
76,0.012322088703513145,2.3949427604675293
77,-0.007887272164225578,1.6578019857406616
78,-0.012778088450431824,1.9692667722702026
79,-0.015093264169991016,1.615688443183899
80,-0.04074600338935852,1.6231027841567993
81,-0.053125180304050446,1.8391525745391846
82,-0.030450545251369476,1.4072760343551636
83,-0.050230782479047775,2.3625175952911377
84,-0.03870227932929993,2.010660171508789
85,-0.006653056479990482,2.3855199813842773
86,-0.0386919230222702,2.006709575653076
87,-0.010532034561038017,2.291046142578125
88,-0.023077288642525673,2.090947389602661
89,-0.025021538138389587,2.4061872959136963
90,-0.051831040531396866,2.2823705673217773
91,-0.06724962592124939,3.313314437866211
92,-0.014935445971786976,3.1327736377716064
93,-0.025444546714425087,2.676924705505371
94,-0.017191579565405846,2.7617111206054688
95,-0.029492376372218132,2.560176134109497
96,-0.007648663129657507,2.9347236156463623
97,-0.03515111282467842,2.5031325817108154
98,-0.025839831680059433,2.6035215854644775
99,-0.04800593852996826,2.29321551322937
100,-0.05194873735308647,3.4697682857513428
101,-0.04326530545949936,3.725203037261963
